seed,shift_name,severity_name,scenario_parameters,method_name,alpha,abstention_policy,abstention_threshold,bin_index,lower_bound,upper_bound,sample_count,average_confidence,empirical_accuracy
17,clean,clean,{},raw_softmax,,,,1,0.1,0.2,0.0,,
17,clean,clean,{},raw_softmax,,,,2,0.2,0.3,2.0,0.27615027129650116,0.0
17,clean,clean,{},raw_softmax,,,,3,0.3,0.4,36.0,0.3667866248223517,0.2777777777777778
17,clean,clean,{},raw_softmax,,,,4,0.4,0.5,134.0,0.45541642962107015,0.44776119402985076
17,clean,clean,{},raw_softmax,,,,5,0.5,0.6,368.0,0.5501275875646136,0.5081521739130435
17,clean,clean,{},raw_softmax,,,,6,0.6,0.7,388.0,0.650737376557183,0.6082474226804123
17,clean,clean,{},raw_softmax,,,,7,0.7,0.8,433.0,0.7497875452316937,0.7020785219399538
17,clean,clean,{},raw_softmax,,,,8,0.8,0.9,623.0,0.8540701279670814,0.7961476725521669
17,clean,clean,{},raw_softmax,,,,9,0.9,1.0,8016.0,0.9904415044271779,0.9804141716566867
17,clean,clean,{},temperature_scaled,,,,0,0.0,0.1,0.0,,
17,clean,clean,{},temperature_scaled,,,,1,0.1,0.2,0.0,,
17,clean,clean,{},temperature_scaled,,,,2,0.2,0.3,7.0,0.2771055889981134,0.2857142857142857
17,clean,clean,{},temperature_scaled,,,,3,0.3,0.4,81.0,0.36714732168633263,0.2962962962962963
17,clean,clean,{},temperature_scaled,,,,4,0.4,0.5,219.0,0.46200551643763504,0.4931506849315068
17,clean,clean,{},temperature_scaled,,,,5,0.5,0.6,451.0,0.5519074128895272,0.5388026607538803
17,clean,clean,{},temperature_scaled,,,,6,0.6,0.7,473.0,0.6484882859296577,0.6807610993657506
17,clean,clean,{},temperature_scaled,,,,7,0.7,0.8,551.0,0.7535351266012866,0.7695099818511797
17,clean,clean,{},temperature_scaled,,,,8,0.8,0.9,798.0,0.854489839465397,0.8759398496240601
17,clean,clean,{},temperature_scaled,,,,9,0.9,1.0,7420.0,0.9881686579104704,0.9878706199460916
17,gaussian_blur,medium,"{""sigma"":1.0}",raw_softmax,,,,0,0.0,0.1,0.0,,
17,gaussian_blur,medium,"{""sigma"":1.0}",raw_softmax,,,,1,0.1,0.2,2.0,0.19124286621809006,0.5
17,gaussian_blur,medium,"{""sigma"":1.0}",raw_softmax,,,,2,0.2,0.3,37.0,0.266329656984355,0.24324324324324326
17,gaussian_blur,medium,"{""sigma"":1.0}",raw_softmax,,,,3,0.3,0.4,253.0,0.35884009484245843,0.4031620553359684
17,gaussian_blur,medium,"{""sigma"":1.0}",raw_softmax,,,,4,0.4,0.5,539.0,0.4552537922735338,0.49907235621521334
17,gaussian_blur,medium,"{""sigma"":1.0}",raw_softmax,,,,5,0.5,0.6,755.0,0.5482598766585849,0.6291390728476821
17,gaussian_blur,medium,"{""sigma"":1.0}",raw_softmax,,,,6,0.6,0.7,743.0,0.6501369714576495,0.7254374158815612
17,gaussian_blur,medium,"{""sigma"":1.0}",raw_softmax,,,,7,0.7,0.8,899.0,0.750469010120239,0.8109010011123471
17,gaussian_blur,medium,"{""sigma"":1.0}",raw_softmax,,,,8,0.8,0.9,1110.0,0.8522819528708587,0.8900900900900901
17,gaussian_blur,medium,"{""sigma"":1.0}",raw_softmax,,,,9,0.9,1.0,5662.0,0.9815922732889674,0.9848110208406924
17,gaussian_blur,medium,"{""sigma"":1.0}",temperature_scaled,,,,0,0.0,0.1,0.0,,
17,gaussian_blur,medium,"{""sigma"":1.0}",temperature_scaled,,,,1,0.1,0.2,5.0,0.1836505800485611,0.2
17,gaussian_blur,medium,"{""sigma"":1.0}",temperature_scaled,,,,2,0.2,0.3,114.0,0.2707797852263116,0.30701754385964913
17,gaussian_blur,medium,"{""sigma"":1.0}",temperature_scaled,,,,3,0.3,0.4,412.0,0.3572017528044367,0.4733009708737864
17,gaussian_blur,medium,"{""sigma"":1.0}",temperature_scaled,,,,4,0.4,0.5,767.0,0.45189212668672535,0.5840938722294654
17,gaussian_blur,medium,"{""sigma"":1.0}",temperature_scaled,,,,5,0.5,0.6,922.0,0.5505595236952031,0.6919739696312365
17,gaussian_blur,medium,"{""sigma"":1.0}",temperature_scaled,,,,6,0.6,0.7,927.0,0.6496901640742856,0.8122977346278317
17,gaussian_blur,medium,"{""sigma"":1.0}",temperature_scaled,,,,7,0.7,0.8,1033.0,0.7519059449520831,0.8654404646660213
17,gaussian_blur,medium,"{""sigma"":1.0}",temperature_scaled,,,,8,0.8,0.9,1122.0,0.8528225334782864,0.948306595365419
17,gaussian_blur,medium,"{""sigma"":1.0}",temperature_scaled,,,,9,0.9,1.0,4698.0,0.976752988768923,0.9919114516815666
17,gaussian_blur,mild,"{""sigma"":0.5}",raw_softmax,,,,0,0.0,0.1,0.0,,
17,gaussian_blur,mild,"{""sigma"":0.5}",raw_softmax,,,,1,0.1,0.2,0.0,,
17,gaussian_blur,mild,"{""sigma"":0.5}",raw_softmax,,,,2,0.2,0.3,4.0,0.29289617389440536,0.5
17,gaussian_blur,mild,"{""sigma"":0.5}",raw_softmax,,,,3,0.3,0.4,66.0,0.3647281834573457,0.3333333333333333
17,gaussian_blur,mild,"{""sigma"":0.5}",raw_softmax,,,,4,0.4,0.5,189.0,0.46077272295951843,0.41798941798941797
17,gaussian_blur,mild,"{""sigma"":0.5}",raw_softmax,,,,5,0.5,0.6,424.0,0.5481429222338604,0.5683962264150944
17,gaussian_blur,mild,"{""sigma"":0.5}",raw_softmax,,,,6,0.6,0.7,425.0,0.6515002285732943,0.5976470588235294
17,gaussian_blur,mild,"{""sigma"":0.5}",raw_softmax,,,,7,0.7,0.8,520.0,0.753466309263156,0.7365384615384616
17,gaussian_blur,mild,"{""sigma"":0.5}",raw_softmax,,,,8,0.8,0.9,745.0,0.8551971293935839,0.825503355704698
17,gaussian_blur,mild,"{""sigma"":0.5}",raw_softmax,,,,9,0.9,1.0,7627.0,0.988886009487081,0.9841353087714698
17,gaussian_blur,mild,"{""sigma"":0.5}",temperature_scaled,,,,0,0.0,0.1,0.0,,
17,gaussian_blur,mild,"{""sigma"":0.5}",temperature_scaled,,,,1,0.1,0.2,0.0,,
17,gaussian_blur,mild,"{""sigma"":0.5}",temperature_scaled,,,,2,0.2,0.3,19.0,0.28103655262997274,0.5789473684210527
17,gaussian_blur,mild,"{""sigma"":0.5}",temperature_scaled,,,,3,0.3,0.4,101.0,0.36019116315511196,0.2871287128712871
17,gaussian_blur,mild,"{""sigma"":0.5}",temperature_scaled,,,,4,0.4,0.5,316.0,0.45739712320928333,0.5284810126582279
17,gaussian_blur,mild,"{""sigma"":0.5}",temperature_scaled,,,,5,0.5,0.6,502.0,0.5501532585497396,0.5657370517928287
17,gaussian_blur,mild,"{""sigma"":0.5}",temperature_scaled,,,,6,0.6,0.7,543.0,0.6514124857127995,0.7034990791896869
17,gaussian_blur,mild,"{""sigma"":0.5}",temperature_scaled,,,,7,0.7,0.8,654.0,0.751223558497356,0.7966360856269113
17,gaussian_blur,mild,"{""sigma"":0.5}",temperature_scaled,,,,8,0.8,0.9,915.0,0.8527145681485452,0.9038251366120219
17,gaussian_blur,mild,"{""sigma"":0.5}",temperature_scaled,,,,9,0.9,1.0,6950.0,0.9857395512508832,0.9900719424460431
17,gaussian_blur,strong,"{""sigma"":1.5}",raw_softmax,,,,0,0.0,0.1,0.0,,
17,gaussian_blur,strong,"{""sigma"":1.5}",raw_softmax,,,,1,0.1,0.2,5.0,0.19127777218818665,0.2
17,gaussian_blur,strong,"{""sigma"":1.5}",raw_softmax,,,,2,0.2,0.3,190.0,0.26749267091876583,0.4052631578947368
17,gaussian_blur,strong,"{""sigma"":1.5}",raw_softmax,,,,3,0.3,0.4,709.0,0.3556152534669814,0.44287729196050774
17,gaussian_blur,strong,"{""sigma"":1.5}",raw_softmax,,,,4,0.4,0.5,1050.0,0.45161185610862004,0.5228571428571429
17,gaussian_blur,strong,"{""sigma"":1.5}",raw_softmax,,,,5,0.5,0.6,1055.0,0.5490380303554625,0.6161137440758294
17,gaussian_blur,strong,"{""sigma"":1.5}",raw_softmax,,,,6,0.6,0.7,961.0,0.6488257146650745,0.7169614984391259
17,gaussian_blur,strong,"{""sigma"":1.5}",raw_softmax,,,,7,0.7,0.8,1040.0,0.7514534968023117,0.8394230769230769
17,gaussian_blur,strong,"{""sigma"":1.5}",raw_softmax,,,,8,0.8,0.9,1213.0,0.8529063674505348,0.8837592745259687
17,gaussian_blur,strong,"{""sigma"":1.5}",raw_softmax,,,,9,0.9,1.0,3777.0,0.9694292718435615,0.9772306063012973
17,gaussian_blur,strong,"{""sigma"":1.5}",temperature_scaled,,,,0,0.0,0.1,0.0,,
17,gaussian_blur,strong,"{""sigma"":1.5}",temperature_scaled,,,,1,0.1,0.2,19.0,0.1853530116771397,0.2631578947368421
17,gaussian_blur,strong,"{""sigma"":1.5}",temperature_scaled,,,,2,0.2,0.3,452.0,0.2646034774988626,0.4469026548672566
17,gaussian_blur,strong,"{""sigma"":1.5}",temperature_scaled,,,,3,0.3,0.4,1076.0,0.354222502822548,0.47304832713754646
17,gaussian_blur,strong,"{""sigma"":1.5}",temperature_scaled,,,,4,0.4,0.5,1258.0,0.44886415964658766,0.595389507154213
17,gaussian_blur,strong,"{""sigma"":1.5}",temperature_scaled,,,,5,0.5,0.6,1157.0,0.5483318945922621,0.7156439066551427
17,gaussian_blur,strong,"{""sigma"":1.5}",temperature_scaled,,,,6,0.6,0.7,1092.0,0.6486755524362836,0.825091575091575
17,gaussian_blur,strong,"{""sigma"":1.5}",temperature_scaled,,,,7,0.7,0.8,1034.0,0.7513210395895075,0.8820116054158608
17,gaussian_blur,strong,"{""sigma"":1.5}",temperature_scaled,,,,8,0.8,0.9,1295.0,0.8506201904712957,0.9467181467181467
17,gaussian_blur,strong,"{""sigma"":1.5}",temperature_scaled,,,,9,0.9,1.0,2617.0,0.9603417764923524,0.9873901413832633
17,gaussian_noise,medium,"{""std"":0.2}",raw_softmax,,,,0,0.0,0.1,0.0,,
17,gaussian_noise,medium,"{""std"":0.2}",raw_softmax,,,,1,0.1,0.2,0.0,,
17,gaussian_noise,medium,"{""std"":0.2}",raw_softmax,,,,2,0.2,0.3,8.0,0.28181399777531624,0.0
17,gaussian_noise,medium,"{""std"":0.2}",raw_softmax,,,,3,0.3,0.4,129.0,0.3602298357227976,0.3488372093023256
17,gaussian_noise,medium,"{""std"":0.2}",raw_softmax,,,,4,0.4,0.5,352.0,0.45853953215886245,0.3494318181818182
17,gaussian_noise,medium,"{""std"":0.2}",raw_softmax,,,,5,0.5,0.6,711.0,0.5508036165800778,0.4008438818565401
17,gaussian_noise,medium,"{""std"":0.2}",raw_softmax,,,,6,0.6,0.7,736.0,0.6491576326282128,0.40217391304347827
