seed,shift_name,severity_name,scenario_parameters,method_name,alpha,abstention_policy,abstention_threshold,coverage,selective_risk,number_accepted,number_abstained
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.05,hybrid,0.7,0.8206,0.039361442846697514,8206.0,1794.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.05,hybrid,0.8,0.758,0.025593667546174093,7580.0,2420.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.05,hybrid,0.9,0.6724,0.014128494943486003,6724.0,3276.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.05,hybrid,0.95,0.6079,0.007073531830893209,6079.0,3921.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.05,singleton_conformal,,0.8852,0.062019882512426516,8852.0,1148.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.1,hybrid,0.5,0.9219,0.07310988176591826,9219.0,781.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.1,hybrid,0.6,0.8787,0.05906452714236943,8787.0,1213.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.1,hybrid,0.7,0.8222,0.04013621989783511,8222.0,1778.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.1,hybrid,0.8,0.758,0.025593667546174093,7580.0,2420.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.1,hybrid,0.9,0.6724,0.014128494943486003,6724.0,3276.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.1,hybrid,0.95,0.6079,0.007073531830893209,6079.0,3921.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.1,singleton_conformal,,0.9219,0.07310988176591826,9219.0,781.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.2,hybrid,0.5,0.7504,0.024520255863539453,7504.0,2496.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.2,hybrid,0.6,0.7504,0.024520255863539453,7504.0,2496.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.2,hybrid,0.7,0.7504,0.024520255863539453,7504.0,2496.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.2,hybrid,0.8,0.7504,0.024520255863539453,7504.0,2496.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.2,hybrid,0.9,0.6724,0.014128494943486003,6724.0,3276.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.2,hybrid,0.95,0.6079,0.007073531830893209,6079.0,3921.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.2,singleton_conformal,,0.7504,0.024520255863539453,7504.0,2496.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",temperature_scaled,,confidence_threshold,0.5,0.9398,0.08129389231751438,9398.0,602.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",temperature_scaled,,confidence_threshold,0.6,0.8787,0.05906452714236943,8787.0,1213.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",temperature_scaled,,confidence_threshold,0.7,0.8222,0.04013621989783511,8222.0,1778.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",temperature_scaled,,confidence_threshold,0.8,0.758,0.025593667546174093,7580.0,2420.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",temperature_scaled,,confidence_threshold,0.9,0.6724,0.014128494943486003,6724.0,3276.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",temperature_scaled,,confidence_threshold,0.95,0.6079,0.007073531830893209,6079.0,3921.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.05,hybrid,0.5,0.9142857142857143,0.03968749999999999,6400.0,600.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.05,hybrid,0.6,0.9048571428571428,0.03441742974423745,6334.0,666.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.05,hybrid,0.7,0.8904285714285715,0.029359858815979467,6233.0,767.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.05,hybrid,0.8,0.8441428571428572,0.018107970891859893,5909.0,1091.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.05,hybrid,0.9,0.777,0.010479867622724792,5439.0,1561.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.05,hybrid,0.95,0.719,0.00635803695608983,5033.0,1967.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.05,singleton_conformal,,0.9204285714285714,0.0428371876455067,6443.0,557.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.1,hybrid,0.5,0.9631428571428572,0.055324829427469635,6742.0,258.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.1,hybrid,0.6,0.9348571428571428,0.042023227383863104,6544.0,456.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.1,hybrid,0.7,0.893,0.03007518796992481,6251.0,749.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.1,hybrid,0.8,0.8441428571428572,0.018107970891859893,5909.0,1091.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.1,hybrid,0.9,0.777,0.010479867622724792,5439.0,1561.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.1,hybrid,0.95,0.719,0.00635803695608983,5033.0,1967.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.1,singleton_conformal,,0.9631428571428572,0.055324829427469635,6742.0,258.0
