seed,shift_name,severity_name,scenario_parameters,method_name,alpha,abstention_policy,abstention_threshold,metric_name,metric_value
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_3_pred_4,33.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_3_pred_5,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_3_pred_6,28.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_3_pred_7,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_3_pred_8,1.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_3_pred_9,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_4_pred_0,1.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_4_pred_1,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_4_pred_2,44.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_4_pred_3,23.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_4_pred_4,865.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_4_pred_5,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_4_pred_6,67.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_4_pred_7,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_4_pred_8,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_4_pred_9,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_5_pred_0,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_5_pred_1,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_5_pred_2,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_5_pred_3,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_5_pred_4,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_5_pred_5,983.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_5_pred_6,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_5_pred_7,11.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_5_pred_8,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_5_pred_9,6.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_6_pred_0,122.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_6_pred_1,2.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_6_pred_2,35.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_6_pred_3,29.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_6_pred_4,66.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_6_pred_5,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_6_pred_6,739.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_6_pred_7,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_6_pred_8,7.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_6_pred_9,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_7_pred_0,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_7_pred_1,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_7_pred_2,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_7_pred_3,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_7_pred_4,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_7_pred_5,11.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_7_pred_6,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_7_pred_7,954.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_7_pred_8,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_7_pred_9,35.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_8_pred_0,2.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_8_pred_1,1.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_8_pred_2,1.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_8_pred_3,4.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_8_pred_4,3.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_8_pred_5,1.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_8_pred_6,5.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_8_pred_7,2.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_8_pred_8,981.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_8_pred_9,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_9_pred_0,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_9_pred_1,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_9_pred_2,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_9_pred_3,0.0
